PERMNO,date,MSFT,CRSPVWRET
10107,19970304,-0.003769,-0.002236
10107,19970305,0.017654,0.01155
10107,19970306,-0.030979,-0.002506
10107,19970307,-0.01023,0.006814
10107,19970310,0.033592,0.00857
10107,19970311,-0.01625,-0.001959
10107,19970312,0.003812,-0.007696
10107,19970313,0.008861,-0.015964
10107,19970314,-0.006274,0.003526
10107,19970317,0.015152,-0.001184
10107,19970318,-0.008706,-0.007267
10107,19970319,-0.028858,-0.006177
10107,19970320,-0.007752,-0.001847
10107,19970321,-0.020833,0.00116
10107,19970324,-0.041223,0.00484
10107,19970325,0.00208,-0.000335
10107,19970326,0.043599,0.002518
10107,19970327,-0.005305,-0.018549
10107,19970331,-0.022,-0.021989
10107,19970401,0.017042,0.001827
10107,19970402,-0.013405,-0.011309
10107,19970403,0.033967,-0.000273
10107,19970404,-0.009855,0.011111
10107,19970407,0.017916,0.007864
10107,19970408,0.024772,0.004192
10107,19970409,-0.002545,-0.005362
10107,19970410,-0.012755,-0.004026
10107,19970411,-0.018088,-0.024128
10107,19970414,0.025,0.005169
10107,19970415,-0.002567,0.011999
10107,19970416,0.011583,0.008122
10107,19970417,-0.001272,-0.000863
10107,19970418,0.096815,0.004313
10107,19970421,0,-0.009271
10107,19970422,0.027875,0.013684
10107,19970423,0.040678,-0.000012
10107,19970424,-0.008686,-0.002017
10107,19970425,-0.004381,-0.009074
10107,19970428,0.011001,0.007791
10107,19970429,0.035909,0.023649
10107,19970430,0.021008,0.009343
10107,19970501,-0.004115,-0.000316
10107,19970502,-0.002066,0.019173
10107,19970505,-0.006211,0.021008
10107,19970506,-0.022396,-0.002737
10107,19970507,-0.01545,-0.0111
10107,19970508,0.007576,0.00445
10107,19970509,0.003222,0.005414
10107,19970512,0.011777,0.01276
10107,19970513,-0.003175,-0.004298
10107,19970514,-0.015924,0.003512
10107,19970515,0.010787,0.005937
10107,19970516,-0.014408,-0.010439
10107,19970519,-0.002707,0.002846
10107,19970520,0.034745,0.008911
10107,19970521,0.010493,-0.000619
10107,19970522,0.002077,-0.002138
10107,19970523,0.018653,0.01257
10107,19970527,0.030519,0.002988
10107,19970528,-0.005923,-0.000999
10107,19970529,0,-0.002346
10107,19970530,-0.014896,0.005416
10107,19970602,0.003024,0.00009
10107,19970603,-0.029146,-0.001244
10107,19970604,-0.01294,-0.004105
10107,19970605,0.011536,0.004372
10107,19970606,0.029031,0.013499
10107,19970609,0.008564,0.004614
10107,19970610,-0.002498,0.001526
10107,19970611,0.017526,0.003957
10107,19970612,0,0.01272
10107,19970613,0.020669,0.00985
10107,19970616,0.0135,0.000735
10107,19970617,0.021408,0.001477
10107,19970618,-0.029809,-0.003685
10107,19970619,-0.006721,0.009394
10107,19970620,0.00435,-0.000193
10107,19970623,-0.013956,-0.017584
10107,19970624,0.031235,0.015658
10107,19970625,-0.012305,-0.006574
10107,19970626,-0.01677,-0.004565
10107,19970627,-0.005848,0.004278
10107,19970630,-0.008824,-0.000478
10107,19970701,-0.011375,0.005729
10107,19970702,0.027514,0.011721
10107,19970703,0.00925,0.0119
10107,19970707,-0.000482,-0.003372
10107,19970708,0.013514,0.007022
10107,19970709,-0.00381,-0.008635
10107,19970710,-0.006692,0.006042
10107,19970711,-0.000962,0.00466
10107,19970714,0.047688,0.002446
10107,19970715,0.018621,0.007385
10107,19970716,0.071993,0.011512
10107,19970717,0.007158,-0.005121
10107,19970718,-0.060201,-0.01353
10107,19970721,-0.032473,-0.004248
10107,19970722,0.06023,0.019322
10107,19970723,-0.018647,0.00326
10107,19970724,-0.024304,0.003158
10107,19970725,0.003623,-0.00093
10107,19970728,-0.01083,-0.001984
10107,19970729,0.021442,0.005182
10107,19970730,0.008486,0.010846
10107,19970731,0.002657,0.002239
10107,19970801,-0.006184,-0.005229
10107,19970804,0.006667,0.003258
10107,19970805,0.012362,0.003583
10107,19970806,0.000872,0.007357
10107,19970807,0.003486,-0.007024
10107,19970808,-0.027356,-0.017513
10107,19970811,-0.0125,0.001308
10107,19970812,-0.016275,-0.008812
10107,19970813,0.00046,-0.002384
10107,19970814,0.001378,0.002545
10107,19970815,-0.024771,-0.019864
10107,19970818,0.007526,0.007854
10107,19970819,0.036881,0.013942
10107,19970820,0.012607,0.013519
10107,19970821,-0.01912,-0.01183
10107,19970822,-0.004533,-0.002579
10107,19970825,-0.005464,-0.000652
10107,19970826,-0.010989,-0.005629
10107,19970827,-0.003241,0.001911
10107,19970828,-0.018579,-0.007694
10107,19970829,0.000947,-0.001999
10107,19970902,0.037825,0.024141
10107,19970903,-0.004556,0.001896
10107,19970904,0.011899,0.002892
10107,19970905,-0.006332,0.000611
10107,19970908,0.014565,0.003201
10107,19970909,0.001346,0.00293
10107,19970910,-0.031362,-0.011471
10107,19970911,0.012488,-0.00609
10107,19970912,0.008223,0.011759
10107,19970915,-0.05256,-0.002483
10107,19970916,0.04352,0.021915
10107,19970917,-0.023373,-0.00047
10107,19970918,-0.007039,0.003861
10107,19970919,0.022212,0.003052
10107,19970922,-0.01387,0.005281
10107,19970923,0.016409,-0.00247
10107,19970924,-0.022601,-0.005758
10107,19970925,0.00236,-0.005499
10107,19970926,0.004708,0.006215
10107,19970929,0.008435,0.007381
10107,19970930,-0.016264,-0.003269
10107,19971001,0.011809,0.006434
10107,19971002,-0.005135,0.005408
10107,19971003,0.013139,0.005141
10107,19971006,0.00139,0.0071
10107,19971007,0.010176,0.008874
10107,19971008,0.018315,-0.005795
10107,19971009,-0.00045,-0.001887
10107,19971010,-0.017544,-0.002733
10107,19971013,0.001832,0.001182
10107,19971014,-0.000457,0.000483
10107,19971015,-0.006859,-0.003303
10107,19971016,-0.013582,-0.010226
