Date,Open,High,Low,Close,Adj Close,Volume
2006-02-02,68.750000,69.099998,67.989998,68.389999,44.020733,4605500
2006-02-03,68.199997,68.970001,67.750000,68.129997,43.853367,3529800
2006-02-06,68.500000,68.820000,68.000000,68.699997,44.220257,3745900
2006-02-07,68.300003,68.339996,66.930000,67.160004,43.229008,4908000
2006-02-08,67.750000,68.889999,67.360001,68.809998,44.291054,3567300
2006-02-09,69.000000,69.750000,68.230003,68.449997,44.059345,4016900
2006-02-10,68.150002,68.870003,67.779999,68.750000,44.252445,3167900
2006-02-13,68.300003,69.059998,67.879997,68.620003,44.168789,2838400
2006-02-14,69.000000,70.410004,68.230003,70.220001,45.198635,4532100
2006-02-15,69.930000,71.650002,69.900002,71.599998,46.086899,4396500
2006-02-16,71.790001,72.000000,71.389999,71.959999,46.318630,3483300
2006-02-17,72.000000,72.389999,71.709999,72.050003,46.376560,4767900
2006-02-21,72.000000,72.790001,71.680000,72.589996,46.724129,3956800
2006-02-22,72.589996,73.730003,72.540001,73.059998,47.026669,5532000
2006-02-23,73.070000,73.089996,71.900002,72.349998,46.569653,4974100
2006-02-24,72.500000,72.919998,71.760002,72.699997,46.794941,2921600
2006-02-27,73.300003,73.989998,73.000000,73.500000,47.309895,3217800
2006-02-28,73.099998,73.360001,72.400002,73.080002,47.039551,4444300
2006-03-01,73.129997,74.940002,72.949997,74.389999,47.882751,4179000
2006-03-02,74.139999,74.620003,73.809998,74.339996,47.850567,2247700
2006-03-03,74.349998,75.500000,74.110001,74.610001,48.024372,3396700
2006-03-06,74.629997,74.879997,72.500000,73.220001,47.129673,5496900
2006-03-07,73.010002,74.019997,72.209999,73.040001,47.013798,4904700
2006-03-08,73.040001,73.050003,70.339996,72.400002,46.601856,7726000
2006-03-09,72.430000,72.519997,71.250000,71.400002,45.958164,5101600
2006-03-10,71.349998,72.010002,70.379997,70.949997,45.668526,5996900
2006-03-13,71.449997,71.750000,70.790001,71.000000,45.700714,3401500
2006-03-14,71.000000,72.279999,71.000000,71.940002,46.305763,4048600
2006-03-15,72.110001,74.699997,71.940002,74.290001,47.818405,5208400
2006-03-16,74.930000,75.389999,74.379997,74.900002,48.211018,5802800
2006-03-17,75.580002,76.349998,74.449997,76.230003,49.067127,7015500
2006-03-20,76.879997,77.110001,75.629997,75.849998,48.822517,4217900
2006-03-21,75.900002,76.269997,74.190002,74.309998,47.831268,4594300
2006-03-22,74.599998,76.449997,74.379997,76.209999,49.054226,3635900
2006-03-23,76.400002,77.209999,75.750000,76.260002,49.086414,4874800
2006-03-24,76.260002,76.660004,75.169998,75.500000,48.597237,4318300
2006-03-27,75.879997,76.160004,75.029999,75.379997,48.519978,2579100
2006-03-28,75.550003,76.230003,74.709999,74.870003,48.191738,3726500
2006-03-29,73.250000,73.980003,72.550003,73.669998,47.419327,6587800
2006-03-30,73.650002,74.349998,72.160004,72.400002,46.601856,5282400
2006-03-31,72.400002,72.459999,71.300003,71.809998,46.222073,4316800
2006-04-03,72.709999,75.480003,72.559998,73.500000,47.309895,5884900
2006-04-04,74.099998,75.519997,73.489998,75.300003,48.468494,4606000
2006-04-05,75.500000,76.150002,74.599998,75.800003,48.790337,4758400
2006-04-06,75.500000,76.080002,75.010002,75.650002,48.693787,3679300
2006-04-07,75.599998,76.050003,74.660004,74.919998,48.223888,4262900
2006-04-10,74.930000,75.919998,74.919998,75.449997,48.565048,4038400
2006-04-11,76.220001,76.739998,75.500000,76.660004,49.343884,5325200
2006-04-12,76.839996,78.250000,76.839996,77.839996,50.103409,6412900
2006-04-13,77.199997,77.769997,76.410004,76.940002,49.524136,4209000
2006-04-17,77.489998,78.800003,76.290001,76.449997,49.208721,5459300
2006-04-18,77.050003,79.099998,76.820000,78.910004,50.792175,7702400
2006-04-19,79.050003,79.949997,78.349998,78.970001,50.830776,4647200
2006-04-20,78.989998,79.320000,77.250000,77.970001,50.346493,3850300
2006-04-21,79.449997,80.000000,77.599998,77.870003,50.281929,6891700
2006-04-24,78.250000,79.720001,76.730003,77.379997,49.965504,11219800
2006-04-25,77.279999,77.279999,74.769997,74.930000,48.383511,7536800
2006-04-26,76.059998,76.800003,75.610001,75.949997,49.042145,4612700
2006-04-27,74.989998,75.650002,73.849998,75.059998,48.467442,6142000
